model_raw,model,scenario_id,direction,incentive_type,repeat,agent,turn,value,pair_baseline_mean,ratio
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,1,0.628717839717865,0.708730189204216,0.8871046405174424
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,2,0.47679245471954346,0.708730189204216,0.6727418444738479
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,3,0.5266782641410828,0.708730189204216,0.7431294336882323
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,4,0.6525261402130127,0.708730189204216,0.9206975378679565
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,5,0.6371239423751831,0.708730189204216,0.8989654343503631
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,1,0.814319908618927,0.708730189204216,1.1489843681320677
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,2,0.6949721574783325,0.708730189204216,0.9805877724196687
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,3,0.7081243991851807,0.708730189204216,0.9991452459225484
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,4,0.6069855690002441,0.708730189204216,0.8564409675870956
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,5,0.5512818098068237,0.708730189204216,0.7778444014439682
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,1,0.7400694489479065,0.708730189204216,1.044218886426835
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,2,0.5847801566123962,0.708730189204216,0.8251097039749433
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,3,0.5769276022911072,0.708730189204216,0.8140299525534522
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,4,0.562147319316864,0.708730189204216,0.7931753548526841
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,5,0.295737087726593,0.708730189204216,0.41727739587141854
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,1,0.7910588383674622,0.708730189204216,1.116163598527794
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,2,0.5491765737533569,0.708730189204216,0.7748739677224548
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,3,0.6347901225090027,0.708730189204216,0.8956724747703558
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,4,0.7678957581520081,0.708730189204216,1.083481090334567
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,5,0.6449127793312073,0.708730189204216,0.9099552822144279
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,1,0.6078470349311829,0.708730189204216,0.8576564737755734
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,2,0.7444078922271729,0.708730189204216,1.0503403178902493
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,3,0.4444063901901245,0.708730189204216,0.6270459435192363
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,4,0.6509400606155396,0.708730189204216,0.9184596205030224
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,5,0.6981977820396423,0.708730189204216,0.9851390454011846
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,1,0.765627384185791,0.708730189204216,1.080280473229821
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,2,0.7006171941757202,0.708730189204216,0.9885527734643202
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,3,0.643465518951416,0.708730189204216,0.9079132351818099
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,4,0.7403789758682251,0.708730189204216,1.0446556209204878
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,5,0.6579694747924805,0.708730189204216,0.9283779424314755
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,1,0.6943455338478088,0.708730189204216,0.9797036226542589
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,2,0.6061029434204102,0.708730189204216,0.8551956056802957
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,3,0.6385762095451355,0.708730189204216,0.9010145458346405
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,4,0.5605438351631165,0.708730189204216,0.7909128801081724
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,5,0.4148329198360443,0.708730189204216,0.5853185403345544
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,1,0.7388758659362793,0.708730189204216,1.0425347716116224
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,2,0.6876168251037598,0.708730189204216,0.9702095883284398
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,3,0.48937705159187317,0.708730189204216,0.6904983857698522
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,4,0.5946086049079895,0.708730189204216,0.8389773907834154
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,5,0.7164769768714905,0.708730189204216,1.0109305174032064
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,alpha,1,0.49980852007865906,0.708730189204216,0.7052169185001973
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,alpha,2,0.665306568145752,0.708730189204216,0.9387303917345168
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,alpha,3,0.743594229221344,0.708730189204216,1.049192260394995
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,alpha,4,0.7019687294960022,0.708730189204216,0.9904597549092613
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,alpha,5,0.6621207594871521,0.708730189204216,0.9342352979638154
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,1,0.7968965768814087,0.708730189204216,1.1244004968607144
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,2,0.7127998471260071,0.708730189204216,1.005742182263127
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,3,0.5677308440208435,0.708730189204216,0.801053564062664
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,4,0.7467430233955383,0.708730189204216,1.0536351276837865
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,5,0.6598488092422485,0.708730189204216,0.9310296348221697
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,alpha,1,0.8073174953460693,0.708730189204216,1.139104143782206
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,alpha,2,0.5814531445503235,0.708730189204216,0.8204153758473262
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,alpha,3,0.6820489764213562,0.708730189204216,0.9623534975802028
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,alpha,4,0.6527857184410095,0.708730189204216,0.9210637960462462
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,alpha,5,0.5050439238548279,0.708730189204216,0.7126039380683171
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,1,0.8542654514312744,0.708730189204216,1.2053464977842552
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,2,0.4789162278175354,0.708730189204216,0.6757384334866238
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,3,0.7292331457138062,0.708730189204216,1.028929142319465
