model_raw,model,scenario_id,direction,incentive_type,repeat,agent,turn,value,model_baseline_mean
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,1,0.7120362520217896,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,2,0.559473991394043,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,3,0.5965272188186646,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,4,0.7104029059410095,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,5,0.6914347410202026,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,1,0.8266465663909912,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,2,0.6975163817405701,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,3,0.6826023459434509,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,4,0.5739166736602783,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,5,0.6667459011077881,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,1,0.8245862126350403,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,2,0.6528953909873962,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,3,0.6470719575881958,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,4,0.6494942307472229,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,5,0.3716607391834259,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,1,0.755458652973175,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,2,0.5087427496910095,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,3,0.6329976320266724,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,4,0.8410797119140625,0.7655382883548737
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,5,0.6723203063011169,0.7655382883548737
